atom x[N] y[N] z[N]
170 -2.27433e-13 -9.39545e-13 -1.33644e-12 
171 -2.20858e-13 -9.53811e-13 -1.35843e-12 
172 -2.30258e-13 -9.60211e-13 -1.37256e-12 
173 -2.31656e-13 -9.58476e-13 -1.3744e-12 
174 -2.33057e-13 -9.64877e-13 -1.36809e-12 
175 -2.26462e-13 -9.79138e-13 -1.39007e-12 
176 -2.35858e-13 -9.85536e-13 -1.4042e-12 
177 -2.37254e-13 -9.838e-13 -1.40603e-12 
178 -2.38653e-13 -9.90198e-13 -1.39972e-12 
179 -2.32056e-13 -1.00446e-12 -1.4217e-12 
180 -2.41449e-13 -1.01085e-12 -1.43583e-12 
181 -2.42845e-13 -1.00911e-12 -1.43766e-12 
182 -2.44243e-13 -1.01551e-12 -1.43134e-12 
183 -2.37646e-13 -1.02976e-12 -1.45332e-12 
184 -2.47038e-13 -1.03616e-12 -1.46745e-12 
185 -2.48433e-13 -1.03442e-12 -1.46928e-12 
186 -2.49831e-13 -1.04081e-12 -1.46296e-12 
187 -2.43234e-13 -1.05506e-12 -1.48492e-12 
188 -2.52624e-13 -1.06145e-12 -1.49905e-12 
189 -2.54019e-13 -1.05971e-12 -1.50088e-12 
190 -2.55416e-13 -1.0661e-12 -1.49455e-12 
191 -2.4882e-13 -1.08035e-12 -1.51652e-12 
192 -2.58209e-13 -1.08674e-12 -1.53065e-12 
193 -2.59603e-13 -1.085e-12 -1.53247e-12 
194 -2.60999e-13 -1.09138e-12 -1.52614e-12 
195 -2.54404e-13 -1.10563e-12 -1.5481e-12 
196 -2.63791e-13 -1.11201e-12 -1.56223e-12 
197 -2.65184e-13 -1.11027e-12 -1.56405e-12 
198 -2.6658e-13 -1.11666e-12 -1.55771e-12 
199 -2.59985e-13 -1.1309e-12 -1.57967e-12 
200 -2.69371e-13 -1.13728e-12 -1.5938e-12 
201 -2.70764e-13 -1.13554e-12 -1.59562e-12 
202 -2.72159e-13 -1.14192e-12 -1.58928e-12 
203 -2.65565e-13 -1.15616e-12 -1.61123e-12 
204 -2.74949e-13 -1.16254e-12 -1.62535e-12 
205 -2.76342e-13 -1.16079e-12 -1.62717e-12 
206 -2.77737e-13 -1.16717e-12 -1.62083e-12 
207 -2.71143e-13 -1.18141e-12 -1.64277e-12 
208 -2.80526e-13 -1.18779e-12 -1.6569e-12 
209 -2.81918e-13 -1.18604e-12 -1.65871e-12 
210 -2.83312e-13 -1.19242e-12 -1.65237e-12 
211 -2.76718e-13 -1.20665e-12 -1.67431e-12 
212 -2.861e-13 -1.21302e-12 -1.68843e-12 
213 -2.87491e-13 -1.21127e-12 -1.69025e-12 
214 -2.88885e-13 -1.21765e-12 -1.68389e-12 
