atom x[m] y[m] z[m]
243 0 1.425e-09 1.425e-09 
244 5.7e-10 1.14e-09 1.14e-09 
245 8.55e-10 1.425e-09 1.14e-09 
246 8.55e-10 1.14e-09 1.425e-09 
247 5.7e-10 1.425e-09 1.425e-09 
248 1.14e-09 1.14e-09 1.14e-09 
249 1.425e-09 1.425e-09 1.14e-09 
250 1.425e-09 1.14e-09 1.425e-09 
251 1.14e-09 1.425e-09 1.425e-09 
252 1.71e-09 1.14e-09 1.14e-09 
253 1.995e-09 1.425e-09 1.14e-09 
254 1.995e-09 1.14e-09 1.425e-09 
255 1.71e-09 1.425e-09 1.425e-09 
256 2.28e-09 1.14e-09 1.14e-09 
257 2.565e-09 1.425e-09 1.14e-09 
258 2.565e-09 1.14e-09 1.425e-09 
259 2.28e-09 1.425e-09 1.425e-09 
260 0 1.71e-09 1.14e-09 
261 2.85e-10 1.995e-09 1.14e-09 
262 2.85e-10 1.71e-09 1.425e-09 
263 0 1.995e-09 1.425e-09 
264 5.7e-10 1.71e-09 1.14e-09 
265 8.55e-10 1.995e-09 1.14e-09 
266 8.55e-10 1.71e-09 1.425e-09 
267 5.7e-10 1.995e-09 1.425e-09 
268 1.14e-09 1.71e-09 1.14e-09 
269 1.425e-09 1.995e-09 1.14e-09 
270 1.425e-09 1.71e-09 1.425e-09 
271 1.14e-09 1.995e-09 1.425e-09 
272 1.71e-09 1.71e-09 1.14e-09 
273 1.995e-09 1.995e-09 1.14e-09 
274 1.995e-09 1.71e-09 1.425e-09 
275 1.71e-09 1.995e-09 1.425e-09 
276 2.28e-09 1.71e-09 1.14e-09 
277 2.565e-09 1.995e-09 1.14e-09 
278 2.565e-09 1.71e-09 1.425e-09 
279 2.28e-09 1.995e-09 1.425e-09 
280 0 2.28e-09 1.14e-09 
281 2.85e-10 2.565e-09 1.14e-09 
282 2.85e-10 2.28e-09 1.425e-09 
283 0 2.565e-09 1.425e-09 
284 5.7e-10 2.28e-09 1.14e-09 
285 8.55e-10 2.565e-09 1.14e-09 
286 8.55e-10 2.28e-09 1.425e-09 
287 5.7e-10 2.565e-09 1.425e-09 
288 1.14e-09 2.28e-09 1.14e-09 
289 1.425e-09 2.565e-09 1.14e-09 
290 1.425e-09 2.28e-09 1.425e-09 
291 1.14e-09 2.565e-09 1.425e-09 
292 1.71e-09 2.28e-09 1.14e-09 
293 1.995e-09 2.565e-09 1.14e-09 
294 1.995e-09 2.28e-09 1.425e-09 
295 1.71e-09 2.565e-09 1.425e-09 
296 2.28e-09 2.28e-09 1.14e-09 
297 2.565e-09 2.565e-09 1.14e-09 
298 2.565e-09 2.28e-09 1.425e-09 
299 2.28e-09 2.565e-09 1.425e-09 
300 0 0 1.71e-09 
301 2.85e-10 2.85e-10 1.71e-09 
302 2.85e-10 0 1.995e-09 
303 0 2.85e-10 1.995e-09 
304 5.7e-10 0 1.71e-09 
305 8.55e-10 2.85e-10 1.71e-09 
306 8.55e-10 0 1.995e-09 
307 5.7e-10 2.85e-10 1.995e-09 
308 1.14e-09 0 1.71e-09 
309 1.425e-09 2.85e-10 1.71e-09 
310 1.425e-09 0 1.995e-09 
311 1.14e-09 2.85e-10 1.995e-09 
312 1.71e-09 0 1.71e-09 
313 1.995e-09 2.85e-10 1.71e-09 
314 1.995e-09 0 1.995e-09 
315 1.71e-09 2.85e-10 1.995e-09 
316 2.28e-09 0 1.71e-09 
317 2.565e-09 2.85e-10 1.71e-09 
318 2.565e-09 0 1.995e-09 
319 2.28e-09 2.85e-10 1.995e-09 
320 0 5.7e-10 1.71e-09 
321 2.85e-10 8.55e-10 1.71e-09 
322 2.85e-10 5.7e-10 1.995e-09 
323 0 8.55e-10 1.995e-09 
324 5.7e-10 5.7e-10 1.71e-09 
325 8.55e-10 8.55e-10 1.71e-09 
326 8.55e-10 5.7e-10 1.995e-09 
