# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
16100 1940.85 141119 88008.9 -18764.1 1335.41
16200 1924.85 140793 88011.6 -18757.6 1324.4
16300 1948.14 140312 88014.4 -18777.6 1340.42
16400 1986.88 138716 88017.2 -18807.5 1367.08
16500 1940.58 139437 88020 -18778.2 1335.22
16600 1918.72 140553 88022.8 -18765 1320.18
16700 1959.94 138902 88025.7 -18794.5 1348.54
16800 1987.08 138465 88028.6 -18813.6 1367.21
16900 1931.54 139734 88031.5 -18775.1 1329
17000 1956.42 139492 88034.4 -18791.1 1346.12
17100 1934.71 139930 88037.3 -18774.3 1331.18
17200 1941.55 140113 88040.3 -18776.4 1335.88
17300 1945.5 139987 88043.3 -18775.8 1338.61
17400 1966.44 139373 88046.3 -18786 1353.01
17500 1969.65 139505 88049.3 -18783.5 1355.22
17600 1951.26 140467 88052.4 -18765.6 1342.57
17700 1971.43 140016 88055.5 -18774 1356.45
17800 1961.63 141553 88058.6 -18761.4 1349.7
17900 1976.38 140843 88061.7 -18765.1 1359.85
18000 1977.89 141084 88064.8 -18759.4 1360.89
18100 1986.17 141426 88068 -18758.1 1366.58
18200 1990.22 141840 88071.2 -18753.8 1369.38
18300 2001.14 141533 88074.4 -18754.2 1376.89
18400 1998.1 141837 88077.6 -18745 1374.8
18500 2015.69 141288 88080.9 -18749.8 1386.9
18600 1998.69 142353 88084.1 -18731.1 1375.2
18700 2006.84 143188 88087.4 -18730 1380.81
18800 2017.98 142386 88090.7 -18731.3 1388.47
18900 2014.48 143107 88094.1 -18722.8 1386.07
19000 2031.37 143175 88097.4 -18728.6 1397.69
19100 2029.74 143176 88100.8 -18722 1396.57
19200 2045.21 142640 88104.2 -18727.8 1407.21
19300 2061.97 142656 88107.7 -18735.1 1418.74
19400 2039.76 143328 88111.1 -18716.3 1403.46
19500 2062.01 142664 88114.6 -18728.7 1418.77
19600 2038.03 143431 88118.1 -18710 1402.27
19700 2052.66 143748 88121.6 -18718.5 1412.34
19800 2037.48 143889 88125.2 -18707.3 1401.89
19900 2071.05 142734 88128.7 -18730.2 1424.99
20000 2030.29 143920 88132.3 -18702.5 1396.94
20100 2054.35 143314 88135.9 -18720.1 1413.5
20200 2036.94 143069 88139.5 -18709.7 1401.52
20300 2042.5 143067 88143.2 -18715.7 1405.34
20400 2043.14 142761 88146.9 -18718.8 1405.79
20500 2019.1 143496 88150.6 -18705.4 1389.24
20600 2038.66 143059 88154.3 -18722.6 1402.7
20700 2019.76 142731 88158 -18713.8 1389.7
20800 2010.64 142963 88161.8 -18712.3 1383.42
20900 2027.29 142537 88165.6 -18728.7 1394.88
21000 2031.43 141788 88169.4 -18736.7 1397.73
21100 2003.7 142689 88173.2 -18723 1378.65
21200 2008.48 142189 88177.1 -18731.9 1381.94
21300 1997.52 141104 88180.9 -18730 1374.4
21400 1983.32 142101 88184.8 -18725.8 1364.63
21500 1993.81 140943 88188.8 -18738.7 1371.84
21600 1999.44 141458 88192.7 -18748.3 1375.72
21700 1990.73 140667 88196.7 -18747.9 1369.73
21800 1992.11 140591 88200.6 -18754.4 1370.68
21900 1957.8 140851 88204.6 -18736.2 1347.07
22000 1959.3 140339 88208.7 -18742.4 1348.1
22100 1958.08 140187 88212.7 -18746.5 1347.26
22200 1980.75 139498 88216.8 -18766.8 1362.86
22300 1965.01 139607 88220.9 -18760.2 1352.03
22400 1962.86 139736 88225 -18762.7 1350.55
22500 1943.53 139739 88229.1 -18752.9 1337.25
22600 1946.01 138942 88233.3 -18757.8 1338.96
22700 1967.95 138637 88237.4 -18775.5 1354.05
22800 1949.14 139281 88241.6 -18764.7 1341.11
22900 1958.56 139041 88245.9 -18772.7 1347.59
23000 1953.12 139165 88250.1 -18770 1343.85
23100 1969.88 138448 88254.4 -18781.9 1355.38
23200 1960.93 138587 88258.6 -18775.5 1349.22
23300 1965.86 138398 88262.9 -18778.2 1352.62
23400 1939.04 139003 88267.3 -18758.4 1334.16
23500 1946.35 139007 88271.6 -18761.7 1339.19
23600 1962.11 139439 88276 -18770.4 1350.04
23700 1954.48 139165 88280.4 -18762.5 1344.78
23800 1951.88 139563 88284.8 -18757.5 1343
23900 1940.42 139881 88289.2 -18746 1335.11
24000 1998.43 138592 88293.7 -18781.8 1375.03
24100 1960.74 139809 88298.1 -18751.4 1349.09
24200 1971.42 139167 88302.6 -18754 1356.44
24300 2006.92 138952 88307.1 -18773.7 1380.86
24400 2004.38 138763 88311.7 -18767.2 1379.12
24500 1998.88 139172 88316.2 -18758.6 1375.33
24600 1997.98 139449 88320.8 -18753.2 1374.72
24700 1968.04 141112 88325.4 -18727.9 1354.11
24800 2011.87 140110 88330 -18753.3 1384.27
24900 2002.99 140416 88334.6 -18742.4 1378.16
25000 2010.99 140498 88339.3 -18743.3 1383.67
25100 2006.41 140401 88344 -18735.7 1380.51
25200 2003.2 140503 88348.7 -18729 1378.31
25300 2006.01 140858 88353.4 -18726.7 1380.24
25400 2002.95 140968 88358.1 -18720.7 1378.13
25500 2050.35 140108 88362.9 -18749.5 1410.74
25600 2042.72 139905 88367.7 -18740.9 1405.5
25700 2046.47 139870 88372.5 -18740.6 1408.08
25800 2039.41 140271 88377.3 -18733.3 1403.22
25900 2038.84 140372 88382.2 -18731 1402.83
26000 2022.58 141182 88387 -18718.6 1391.64
26100 2020.61 141528 88391.9 -18716.4 1390.29
26200 2039.8 140051 88396.8 -18729.3 1403.49
26300 2002.5 141442 88401.8 -18704 1377.82
26400 2033 140383 88406.7 -18725.8 1398.81
