# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
17500000 932.98 -1021.35 101949 -19766.3 641.938
17600000 949.27 -941.698 101975 -19761.9 653.147
17700000 930.972 -61.652 101566 -19794.6 640.557
17800000 922.479 2215.45 101347 -19776.1 634.713
17900000 914.925 -851.734 101713 -19785.4 629.516
18000000 930.332 -2917.72 102037 -19782.2 640.117
18100000 919.755 -813.793 101733 -19781.8 632.839
18200000 927.459 2589.75 101253 -19779.2 638.14
18300000 907.554 908.313 101429 -19787.7 624.444
18400000 925.947 -1256.6 101969 -19765.5 637.099
18500000 911.89 -456.477 101943 -19762.6 627.428
18600000 915.176 1381.1 101332 -19792.6 629.689
18700000 925.259 3437.56 101149 -19785.1 636.626
18800000 909.187 -1080.6 101700 -19789.5 625.568
18900000 931.037 -1885.75 102038 -19765.1 640.601
19000000 903.053 -1487.36 101596 -19799.9 621.347
19100000 897.592 1999.89 101128 -19804.3 617.59
19200000 912.629 1066.4 101382 -19793.8 627.936
19300000 905.4 -1472.09 101803 -19784.3 622.962
19400000 903.2 -783.153 101705 -19786.9 621.448
19500000 897.792 842.957 101330 -19797.1 617.727
19600000 900.904 897.254 101301 -19803.3 619.869
19700000 912.417 -1015.63 101546 -19803.6 627.79
19800000 914.78 -345.291 101617 -19789.7 629.416
19900000 911.076 561.003 101418 -19795.6 626.867
20000000 903.779 106.885 101279 -19816.1 621.847
20100000 922.887 703.273 101372 -19799.1 634.994
20200000 912.112 -710.981 101508 -19803.3 627.58
20300000 897.508 -1041.17 101484 -19810.8 617.532
20400000 908.68 -687.05 101357 -19819.6 625.219
20500000 906.325 699.704 101309 -19805.4 623.598
20600000 898.632 -166.295 101396 -19808.5 618.305
20700000 879.332 -944.609 101429 -19818.4 605.026
20800000 879.279 -687.652 101359 -19811.4 604.99
20900000 885.555 597.092 101295 -19803.3 609.308
21000000 884.859 111.985 101335 -19808.6 608.828
21100000 875.194 -548.191 101397 -19815.5 602.178
21200000 877.272 109.837 101311 -19812.2 603.609
21300000 880.439 530.16 101236 -19816.1 605.788
21400000 882.642 -887.084 101303 -19822.7 607.303
21500000 866.177 -255.636 101340 -19812.7 595.975
21600000 879.868 639.065 101234 -19815.4 605.395
21700000 886.342 347.24 101146 -19827.1 609.849
21800000 885.971 131.642 101210 -19819.6 609.594
21900000 886.504 -876.028 101290 -19831.6 609.961
22000000 892.696 -509.048 101244 -19825.8 614.221
22100000 880.296 406.623 101139 -19828 605.689
22200000 868.6 385.859 101142 -19826.8 597.642
22300000 864.926 -978.798 101208 -19837.7 595.114
22400000 853.014 -3.03591 101171 -19824.9 586.918
22500000 882.925 -99.5192 101076 -19839.7 607.498
22600000 887.503 163.765 101126 -19830.3 610.648
22700000 878.102 -529.752 101220 -19835.2 604.18
22800000 880.178 155.478 101153 -19829.8 605.608
22900000 863.379 772.957 101048 -19830.7 594.049
23000000 868.319 425.614 101076 -19826.3 597.448
23100000 869.398 -433.135 101177 -19841.2 598.19
23200000 866.388 -818.776 101157 -19844.4 596.119
23300000 873.525 1182.12 100971 -19838.1 601.031
23400000 877.361 348.542 100930 -19846.6 603.67
23500000 868.014 102.392 101098 -19832.3 597.239
23600000 861.527 -1556.9 101177 -19847.6 592.775
23700000 844.014 -210.52 100998 -19849.4 580.725
23800000 843.109 176.977 100831 -19865.9 580.103
23900000 876.928 404.193 100963 -19844.6 603.372
24000000 867.128 -871.467 101178 -19845.1 596.629
24100000 859.833 -332.456 101042 -19846.5 591.61
24200000 851.56 1562.16 100750 -19850.5 585.917
24300000 853.511 901.652 100783 -19857.3 587.259
24400000 857.899 -572.692 101095 -19850.8 590.279
24500000 842.808 -1052.18 101158 -19844.4 579.895
24600000 874.161 125.638 100810 -19869.6 601.468
24700000 854.933 2078.89 100618 -19860.9 588.238
24800000 849.463 -266.256 100892 -19863.3 584.474
24900000 852.581 -1866.42 101150 -19856.8 586.62
25000000 856.535 529.006 100912 -19852.9 589.341
25100000 851.312 1165.77 100582 -19872.3 585.747
25200000 827.807 1036.64 100702 -19864.7 569.574
25300000 840.691 -598.025 101031 -19851.2 578.439
25400000 853.184 -285.906 101024 -19850.8 587.035
25500000 845.138 -377.687 100680 -19880.3 581.498
25600000 847.832 1562.5 100535 -19877.2 583.352
25700000 830.512 -303.875 100816 -19868.7 571.435
25800000 846.006 -1622.76 101059 -19861.6 582.096
25900000 845.851 -349.785 100811 -19873.1 581.989
26000000 845.648 2096.48 100484 -19869.4 581.85
26100000 827.31 1489.58 100583 -19866.9 569.232
26200000 839.049 -857.464 100926 -19866 577.309
26300000 825.25 -422.163 100898 -19866.2 567.815
26400000 836.028 1692.22 100551 -19869.6 575.231
26500000 827.998 536.459 100454 -19899.4 569.706
26600000 837.947 -1043.72 100737 -19894.8 576.551
26700000 855.355 -981.102 100893 -19873.4 588.528
26800000 808.579 -395.291 100673 -19884.9 556.344
26900000 820.477 1696.12 100426 -19885 564.531
27000000 824.902 -116.278 100534 -19892.9 567.575
27100000 828.593 -1487.42 100798 -19886.6 570.115
27200000 826.194 -603.342 100738 -19886.4 568.464
27300000 816.392 882.538 100443 -19889.3 561.72
27400000 835.349 1068.6 100399 -19896.9 574.764
27500000 809.586 -509.592 100653 -19889 557.037
27600000 815.143 -1557.62 100790 -19891.9 560.861
27700000 803.449 -1115.49 100542 -19907.6 552.815
27800000 823 1096.95 100303 -19900.4 566.266
27900000 832.715 822.216 100467 -19886.4 572.951
28000000 817.562 -1285.15 100743 -19891.9 562.525
28100000 847.419 -552.156 100624 -19892.9 583.068
28200000 811.938 240.444 100295 -19918.4 558.655
28300000 812.462 207.483 100297 -19916.9 559.016
28400000 812.552 -702.831 100567 -19900.6 559.078
28500000 813.753 -1529.67 100638 -19908.6 559.904
28600000 800.299 -449.679 100417 -19910.3 550.647
28700000 821.023 885.915 100241 -19915.3 564.906
28800000 819.819 14.1042 100390 -19908.7 564.078
28900000 810.595 -534.937 100597 -19898.9 557.731
29000000 805.5 -1240.22 100501 -19916.5 554.226
29100000 809.307 901.736 100226 -19912.7 556.845
29200000 814.839 1699.7 100224 -19904.9 560.652
29300000 825.746 -591.306 100472 -19911.9 568.156
